ZONA_ORIGEN,ZONA_DESTINO,DIA_SEMANA,SEMANA,VOLUMEN
10,0,6,19,1
10,1,6,1,1
10,1,6,5,1
10,1,6,6,1
10,1,6,13,1
10,1,6,16,1
10,1,6,20,1
10,1,6,21,1
10,1,6,22,1
10,1,6,26,2
10,1,6,27,1
10,1,6,28,2
10,1,6,29,1
10,1,6,35,1
10,1,6,36,1
10,1,6,37,1
10,1,6,40,1
10,1,6,41,1
10,1,6,43,1
10,1,6,44,1
10,1,6,45,2
10,1,6,47,1
10,1,6,49,1
10,1,3,41,1
10,1,2,13,1
10,1,2,16,1
10,1,2,44,1
10,1,5,16,1
10,1,5,38,1
10,1,4,3,1
10,1,4,4,1
10,1,4,13,1
10,1,4,15,1
10,1,4,21,1
10,1,4,24,1
10,1,4,25,2
10,1,4,28,2
10,1,4,29,1
10,1,4,30,2
10,1,4,31,1
10,1,4,34,2
10,1,4,37,1
10,1,4,45,1
10,1,4,48,1
10,2,6,1,1
10,2,6,2,1
10,2,6,3,2
10,2,6,4,3
10,2,6,5,2
10,2,6,6,1
10,2,6,7,1
10,2,6,8,2
10,2,6,9,2
10,2,6,10,4
10,2,6,11,1
10,2,6,12,1
10,2,6,13,2
10,2,6,14,1
10,2,6,15,1
10,2,6,16,2
10,2,6,17,1
10,2,6,18,1
10,2,6,19,2
10,2,6,20,1
10,2,6,21,1
10,2,6,22,3
10,2,6,23,2
10,2,6,24,1
10,2,6,25,2
10,2,6,26,2
10,2,6,27,1
10,2,6,28,1
10,2,6,29,2
10,2,6,30,1
10,2,6,31,1
10,2,6,32,3
10,2,6,33,1
10,2,6,34,2
10,2,6,35,1
10,2,6,36,1
10,2,6,37,3
10,2,6,38,2
10,2,6,39,2
10,2,6,40,1
10,2,6,41,2
10,2,6,42,2
10,2,6,43,2
10,2,6,44,2
10,2,6,45,2
10,2,6,46,1
10,2,6,47,2
10,2,6,48,3
10,2,6,49,3
10,2,6,50,1
10,2,6,51,1
10,2,6,52,3
10,2,3,13,2
10,2,3,16,3
10,2,3,22,2
10,2,3,25,3
10,2,3,33,1
10,2,3,41,4
10,2,3,44,4
10,2,3,49,1
10,2,0,1,1
10,2,0,17,1
10,2,0,18,1
10,2,0,52,1
10,2,1,1,1
10,2,1,18,2
10,2,1,33,1
10,2,1,49,2
10,2,1,52,2
10,2,2,13,3
10,2,2,16,1
10,2,2,18,2
10,2,2,22,1
10,2,2,25,1
10,2,2,33,4
10,2,2,44,3
10,2,2,49,3
10,2,5,1,1
10,2,5,2,1
10,2,5,3,1
10,2,5,4,1
10,2,5,5,1
10,2,5,7,3
10,2,5,9,1
10,2,5,10,1
10,2,5,11,1
10,2,5,13,1
10,2,5,14,1
10,2,5,15,2
10,2,5,16,1
10,2,5,17,2
10,2,5,19,1
10,2,5,21,2
10,2,5,22,1
10,2,5,23,1
10,2,5,24,1
10,2,5,25,1
10,2,5,26,1
10,2,5,27,1
10,2,5,28,1
10,2,5,29,1
10,2,5,30,1
10,2,5,31,2
10,2,5,32,2
10,2,5,34,1
10,2,5,35,1
10,2,5,36,1
10,2,5,37,2
10,2,5,38,1
10,2,5,39,1
10,2,5,40,2
10,2,5,41,2
10,2,5,43,1
10,2,5,45,1
10,2,5,47,1
10,2,5,48,1
10,2,5,49,1
10,2,5,51,2
10,2,5,52,1
10,2,4,1,1
10,2,4,2,1
10,2,4,3,1
10,2,4,4,3
10,2,4,5,2
10,2,4,6,1
10,2,4,7,1
10,2,4,8,3
10,2,4,9,1
10,2,4,10,2
10,2,4,11,2
10,2,4,12,3
10,2,4,13,1
10,2,4,14,2
10,2,4,15,2
10,2,4,16,1
10,2,4,17,1
10,2,4,18,2
10,2,4,19,3
10,2,4,20,1
10,2,4,21,1
10,2,4,22,2
10,2,4,23,3
10,2,4,24,3
10,2,4,25,2
10,2,4,26,1
10,2,4,27,3
10,2,4,28,1
10,2,4,29,1
10,2,4,30,2
10,2,4,31,1
10,2,4,32,2
10,2,4,33,2
10,2,4,34,3
10,2,4,35,2
10,2,4,36,1
10,2,4,37,4
10,2,4,38,3
10,2,4,39,3
10,2,4,40,3
10,2,4,41,1
10,2,4,42,1
10,2,4,43,3
10,2,4,44,2
10,2,4,45,3
10,2,4,46,2
10,2,4,47,1
10,2,4,48,2
10,2,4,49,1
10,2,4,50,2
10,2,4,51,1
10,2,4,52,3
10,3,6,34,1
10,3,5,32,1
10,5,6,1,1
10,5,6,2,2
10,5,6,3,2
10,5,6,4,2
10,5,6,5,2
10,5,6,6,4
10,5,6,7,2
10,5,6,8,3
10,5,6,9,4
10,5,6,10,2
10,5,6,11,2
10,5,6,12,2
10,5,6,13,2
10,5,6,14,2
10,5,6,15,2
10,5,6,16,2
10,5,6,17,2
10,5,6,18,2
10,5,6,19,2
10,5,6,20,3
10,5,6,21,3
10,5,6,22,3
10,5,6,23,2
10,5,6,24,2
10,5,6,25,5
10,5,6,26,3
10,5,6,27,2
10,5,6,28,4
10,5,6,29,3
10,5,6,30,2
10,5,6,31,1
10,5,6,32,2
10,5,6,33,4
10,5,6,34,2
10,5,6,35,2
10,5,6,36,3
10,5,6,37,2
10,5,6,38,2
10,5,6,39,2
10,5,6,40,3
10,5,6,41,2
10,5,6,42,2
10,5,6,43,2
10,5,6,44,2
10,5,6,45,2
10,5,6,46,2
10,5,6,47,4
10,5,6,48,2
10,5,6,49,3
10,5,6,50,1
10,5,6,51,1
10,5,3,13,2
10,5,3,22,3
10,5,3,25,3
10,5,3,33,1
10,5,3,41,3
10,5,3,44,2
10,5,3,49,1
10,5,0,1,3
10,5,0,17,1
10,5,0,18,1
10,5,0,52,2
10,5,1,1,1
10,5,1,18,3
10,5,1,49,2
10,5,2,13,2
10,5,2,16,3
10,5,2,18,1
10,5,2,22,2
10,5,2,25,1
10,5,2,33,2
10,5,2,44,2
10,5,2,49,2
10,5,5,1,1
10,5,5,3,1
10,5,5,4,1
10,5,5,6,1
10,5,5,7,1
10,5,5,8,1
10,5,5,9,2
10,5,5,11,1
10,5,5,12,1
10,5,5,14,1
10,5,5,15,2
10,5,5,18,2
10,5,5,20,1
10,5,5,21,2
10,5,5,22,1
10,5,5,23,1
10,5,5,25,2
10,5,5,26,2
10,5,5,27,1
10,5,5,28,1
10,5,5,29,2
10,5,5,31,1
10,5,5,32,2
10,5,5,34,1
10,5,5,36,2
10,5,5,39,2
10,5,5,40,1
10,5,5,44,1
10,5,5,46,1
10,5,5,47,1
10,5,5,48,2
10,5,5,50,1
10,5,5,51,1
10,5,5,52,3
10,5,4,1,1
10,5,4,2,3
10,5,4,3,2
10,5,4,4,2
10,5,4,5,3
10,5,4,6,5
10,5,4,7,2
10,5,4,8,2
10,5,4,9,3
10,5,4,10,2
10,5,4,11,4
10,5,4,12,4
10,5,4,13,2
10,5,4,14,2
10,5,4,15,4
10,5,4,16,2
10,5,4,17,3
10,5,4,18,2
10,5,4,19,3
10,5,4,20,3
10,5,4,21,1
10,5,4,22,3
10,5,4,23,3
10,5,4,24,2
10,5,4,25,4
10,5,4,26,2
10,5,4,27,2
10,5,4,28,2
10,5,4,29,1
10,5,4,30,2
10,5,4,31,2
10,5,4,32,2
10,5,4,33,2
10,5,4,34,3
10,5,4,35,1
10,5,4,36,2
10,5,4,37,3
10,5,4,38,1
10,5,4,39,4
10,5,4,40,6
10,5,4,41,2
10,5,4,42,1
10,5,4,43,2
10,5,4,44,3
10,5,4,45,3
10,5,4,46,2
10,5,4,47,2
10,5,4,48,2
10,5,4,49,1
10,5,4,50,2
10,5,4,51,5
10,5,4,52,4
10,6,6,1,1
10,6,6,3,2
10,6,6,4,1
10,6,6,6,1
10,6,6,9,1
10,6,6,10,1
10,6,6,11,1
10,6,6,12,1
10,6,6,13,1
10,6,6,15,1
10,6,6,16,1
10,6,6,17,1
10,6,6,18,1
10,6,6,19,1
10,6,6,20,2
10,6,6,22,2
10,6,6,25,1
10,6,6,29,1
10,6,6,31,1
10,6,6,32,1
10,6,6,37,1
10,6,6,38,1
10,6,6,39,2
10,6,6,42,2
10,6,6,44,1
10,6,6,49,2
10,6,3,13,1
10,6,3,16,1
10,6,3,22,1
10,6,3,33,2
10,6,3,41,1
10,6,3,44,1
10,6,0,1,2
10,6,0,17,1
10,6,0,52,2
10,6,1,49,1
10,6,1,52,1
10,6,2,13,1
10,6,2,16,3
10,6,2,18,2
10,6,2,33,2
10,6,2,44,1
10,6,2,49,1
10,6,5,12,1
10,6,5,25,1
10,6,5,31,1
10,6,5,33,1
10,6,5,34,1
10,6,5,37,1
10,6,5,39,1
10,6,5,45,1
10,6,5,46,1
10,6,5,51,3
10,6,4,3,1
10,6,4,5,1
10,6,4,6,1
10,6,4,7,1
10,6,4,8,1
10,6,4,10,1
10,6,4,14,1
10,6,4,15,2
10,6,4,17,1
10,6,4,19,2
10,6,4,20,1
10,6,4,21,2
10,6,4,22,2
10,6,4,23,1
10,6,4,24,1
10,6,4,25,1
10,6,4,27,2
10,6,4,28,2
10,6,4,29,1
10,6,4,30,1
10,6,4,32,1
10,6,4,33,5
10,6,4,34,1
10,6,4,35,1
10,6,4,38,2
10,6,4,40,2
10,6,4,41,1
10,6,4,42,2
10,6,4,43,1
10,6,4,44,1
10,6,4,46,1
10,6,4,48,1
10,6,4,49,1
10,6,4,50,1
10,6,4,51,1
10,7,3,44,1
10,7,2,18,1
10,7,5,4,1
10,7,4,31,1
10,7,4,41,1
10,8,6,1,2
10,8,6,2,2
10,8,6,4,1
10,8,6,8,4
10,8,6,9,2
10,8,6,10,1
10,8,6,11,2
10,8,6,12,1
10,8,6,13,3
10,8,6,14,2
10,8,6,15,1
10,8,6,16,2
10,8,6,17,1
10,8,6,18,1
10,8,6,19,1
10,8,6,20,2
10,8,6,21,2
10,8,6,23,3
10,8,6,24,1
10,8,6,25,2
10,8,6,26,2
10,8,6,27,1
10,8,6,28,4
10,8,6,29,1
10,8,6,30,1
10,8,6,31,2
10,8,6,32,1
10,8,6,33,3
10,8,6,34,1
10,8,6,35,2
10,8,6,36,2
10,8,6,37,3
10,8,6,38,3
10,8,6,39,4
10,8,6,40,2
10,8,6,41,3
10,8,6,42,2
10,8,6,43,1
10,8,6,44,5
10,8,6,45,2
10,8,6,46,1
10,8,6,47,1
10,8,6,48,1
10,8,6,49,5
10,8,6,51,2
10,8,6,52,2
10,8,3,13,1
10,8,3,22,4
10,8,3,25,1
10,8,3,33,3
10,8,3,41,2
10,8,3,44,1
10,8,3,49,1
10,8,0,1,2
10,8,0,17,4
10,8,1,33,1
10,8,2,13,2
10,8,2,16,1
10,8,2,18,1
10,8,2,25,1
10,8,2,33,2
10,8,2,49,1
10,8,5,1,1
